lead_time,avg_price_per_room,no_of_special_requests,arrival_month,arrival_date,market_segment_type,no_of_week_nights,no_of_weekend_nights,arrival_year,no_of_adults,booking_status
113,100.0,0,5,31,2,3,0,2018,1,1
163,100.8,0,10,5,3,3,0,2018,1,1
24,120.27,0,4,10,4,3,2,2018,2,1
19,80.0,0,10,6,3,3,0,2017,1,0
20,187.0,2,2,13,4,1,2,2018,3,0
83,59.6,0,3,7,4,1,1,2018,1,0
103,93.6,2,12,7,4,1,0,2018,2,1
65,94.5,0,3,18,4,2,0,2018,2,1
6,104.5,2,9,7,4,1,1,2017,1,0
40,71.64,0,10,25,4,1,2,2017,1,0
22,140.0,0,5,20,3,2,0,2018,2,0
134,109.65,1,6,5,4,2,2,2018,2,0
121,90.0,0,6,24,3,2,1,2018,2,1
3,79.75,0,2,7,3,3,2,2018,1,0
96,108.0,0,10,3,4,1,1,2018,1,1
33,104.0,1,12,8,4,3,0,2018,2,0
28,147.67,2,10,4,4,3,0,2018,2,0
54,107.1,1,7,2,4,1,0,2018,2,0
213,130.0,0,6,7,3,3,0,2018,2,1
27,110.0,1,10,29,4,1,2,2018,2,0
0,65.0,0,3,21,2,1,1,2018,1,0
179,90.9,1,10,28,4,2,2,2018,2,0
157,155.7,2,8,10,4,2,0,2018,3,1
44,98.8,0,12,2,4,2,0,2018,2,1
103,115.0,0,4,19,3,2,0,2018,1,1
195,106.03,1,8,13,4,1,2,2018,3,1
134,114.3,1,8,10,4,2,0,2018,2,0
28,85.59,1,11,4,4,4,0,2017,2,0
301,115.0,1,7,30,3,1,1,2018,2,1
8,58.41,0,12,3,4,3,1,2017,2,0
25,154.0,0,12,3,4,1,2,2018,3,1
146,75.0,0,12,29,3,3,0,2017,2,0
125,140.27,0,7,31,4,5,2,2018,3,0
13,109.0,2,2,13,4,1,2,2018,2,0
8,149.0,1,9,7,4,2,0,2018,2,0
39,101.5,0,8,14,3,2,0,2017,2,0
134,116.36,1,10,22,4,5,2,2018,2,0
7,112.2,0,10,5,3,1,1,2017,2,0
73,76.5,1,4,3,4,1,2,2018,1,0
58,110.36,2,10,15,4,3,2,2018,2,0
134,114.5,0,8,21,4,1,2,2018,2,0
37,105.0,0,10,13,3,3,0,2018,2,0
73,85.0,0,7,14,3,3,0,2018,2,0
188,85.5,2,10,27,4,3,0,2018,2,1
131,103.5,0,12,26,4,0,1,2018,2,1
177,100.0,0,6,3,3,2,0,2018,2,1
134,65.0,0,12,4,3,2,2,2017,2,0
105,75.0,0,4,6,3,1,0,2018,2,1
21,165.0,1,5,4,4,1,0,2018,2,0
14,111.67,0,12,26,4,1,2,2017,2,0
77,89.25,2,10,14,4,4,1,2017,2,0
73,107.1,0,7,6,4,2,0,2018,1,1
63,80.5,0,9,4,3,2,0,2017,1,0
167,104.4,1,10,26,4,5,2,2018,2,1
122,98.5,1,8,1,4,6,3,2018,2,0
16,129.0,1,8,21,4,0,1,2018,2,1
24,129.0,3,10,2,4,2,2,2018,2,0
56,120.0,0,6,8,3,1,0,2018,2,0
71,69.05,0,3,17,4,2,0,2018,2,0
164,100.0,0,10,2,3,2,0,2017,1,0
8,136.0,1,10,16,4,3,2,2018,2,1
21,151.0,0,8,15,4,2,1,2018,2,1
377,115.0,1,10,14,3,2,0,2018,2,1
155,117.42,0,8,30,4,11,4,2018,1,1
359,78.0,1,10,14,3,3,2,2018,2,1
65,79.2,0,11,20,4,0,1,2018,1,0
24,104.61,1,5,31,4,4,0,2018,2,0
68,104.76,2,4,28,4,3,1,2018,2,0
2,42.0,1,1,13,2,1,0,2018,2,0
9,95.0,0,4,11,4,0,1,2018,1,1
15,120.18,1,6,1,4,4,0,2018,2,0
18,65.0,1,6,20,2,0,1,2018,1,0
180,54.75,2,11,13,4,0,1,2018,2,0
89,95.0,2,9,20,3,5,2,2018,2,0
8,224.5,2,10,2,4,4,2,2017,2,0
28,90.0,0,5,17,3,2,0,2018,1,0
315,52.0,0,12,2,3,2,0,2018,2,0
162,168.3,0,7,4,4,0,1,2018,2,1
132,90.9,1,7,3,4,0,2,2018,1,0
28,75.0,2,9,27,3,1,0,2018,2,0
19,126.0,0,10,12,4,2,1,2017,1,0
35,74.8,2,12,2,4,2,2,2018,2,0
114,99.9,0,5,2,4,1,1,2018,1,1
7,98.0,1,6,22,2,1,0,2018,1,0
8,86.0,0,3,2,4,1,0,2018,1,0
11,196.0,2,7,21,4,1,0,2018,3,0
133,70.04,2,8,21,4,3,2,2018,2,0
102,108.3,1,5,3,4,3,0,2018,2,0
45,194.73,0,5,13,4,2,1,2018,3,1
18,47.67,0,2,22,3,5,1,2018,1,1
0,132.44,0,5,1,4,0,2,2018,2,0
1,198.0,0,9,22,3,2,0,2018,3,0
273,106.2,0,9,30,4,2,1,2018,2,1
4,151.0,1,7,6,4,3,0,2018,2,0
60,135.9,1,8,13,4,1,2,2018,2,0
44,59.95,1,3,4,4,6,2,2018,2,0
3,65.0,1,11,24,2,1,0,2018,1,0
96,76.5,0,8,22,4,5,2,2017,2,1
37,108.9,1,6,20,4,2,1,2018,2,0
40,95.0,0,7,26,3,1,0,2018,1,0
3,147.67,0,3,24,4,3,0,2018,2,1
2,81.75,1,5,15,3,2,2,2018,2,0
139,72.25,1,12,3,4,1,0,2017,2,1
100,140.0,1,9,28,3,4,0,2018,2,0
175,100.66,1,8,16,4,5,2,2018,2,1
223,92.28,1,9,29,4,3,1,2018,2,0
83,132.6,0,5,7,4,2,2,2018,2,1
43,203.85,1,8,15,4,2,1,2018,2,0
4,65.0,0,11,30,2,0,1,2017,1,0
73,115.04,1,6,16,4,3,0,2018,1,0
5,74.8,1,3,6,4,1,2,2018,2,0
5,88.8,0,12,10,4,1,0,2018,2,0
59,104.0,2,11,24,4,3,0,2018,2,0
1,116.0,1,10,10,3,1,1,2017,2,0
54,65.0,0,10,5,2,0,1,2017,1,0
73,71.0,0,1,21,4,3,2,2018,2,0
32,65.0,1,7,4,2,1,1,2018,1,0
1,81.0,0,2,20,4,1,0,2018,2,0
168,146.7,1,8,13,4,1,0,2018,3,1
49,93.15,0,7,11,4,0,1,2018,2,1
4,2.0,1,3,23,4,1,0,2018,2,0
59,106.2,1,11,28,4,4,2,2017,2,0
37,156.6,2,6,26,4,2,2,2018,2,0
11,69.6,0,12,8,3,1,0,2017,2,0
43,149.4,1,5,18,4,1,0,2018,2,0
27,149.88,0,9,28,4,3,1,2017,2,0
84,93.6,1,11,18,4,2,0,2018,2,1
336,78.0,0,9,21,3,4,1,2018,2,0
106,92.28,1,6,8,4,4,0,2018,2,0
9,137.0,2,8,23,4,2,0,2018,2,0
2,106.5,1,12,18,4,0,2,2018,2,0
1,174.0,1,8,26,4,2,1,2018,1,0
63,193.68,0,11,7,4,2,1,2018,1,0
5,65.0,0,11,11,2,2,0,2017,1,0
40,81.9,0,3,5,4,3,2,2018,2,1
12,138.0,0,8,30,3,1,0,2018,3,0
4,167.0,1,8,13,4,1,0,2018,2,0
317,106.2,1,9,1,4,3,0,2018,2,1
12,80.8,0,11,16,4,1,0,2018,1,0
165,72.25,2,7,31,3,4,2,2018,2,0
69,120.0,0,6,12,4,4,2,2018,1,1
133,88.5,0,4,29,4,2,1,2018,2,1
5,95.0,0,10,25,0,2,0,2018,1,0
73,89.25,3,10,11,4,5,2,2017,2,0
11,141.0,1,6,17,4,2,0,2018,2,1
35,144.9,1,8,1,4,0,1,2018,2,0
108,65.96,0,3,13,4,2,2,2018,2,0
88,112.2,0,10,5,3,1,1,2017,2,0
4,160.5,1,6,18,4,1,1,2018,2,0
0,180.0,0,9,20,4,1,0,2018,2,0
33,152.1,1,8,11,4,1,0,2018,2,0
74,109.0,0,9,18,3,2,0,2017,2,0
12,122.33,0,4,29,4,2,1,2018,2,1
346,115.0,1,9,13,3,2,0,2018,2,1
9,155.0,1,11,9,4,3,0,2018,2,0
30,98.1,1,5,24,4,2,0,2018,2,1
2,62.8,0,12,5,3,1,1,2017,2,0
137,118.8,1,8,19,4,2,0,2018,2,0
91,132.6,1,10,23,4,4,2,2018,1,0
119,90.9,0,4,15,4,2,0,2018,1,1
30,74.8,3,11,26,4,2,2,2018,2,0
74,93.6,2,11,11,4,2,1,2018,2,0
10,166.0,1,7,3,4,1,2,2018,2,0
0,65.0,0,9,7,2,2,1,2017,1,0
305,89.0,0,11,4,3,2,1,2018,2,1
285,100.0,0,10,3,3,3,1,2018,2,1
166,110.0,0,11,1,3,3,0,2018,1,1
3,166.25,0,9,26,2,1,1,2018,1,0
16,104.67,0,11,18,4,2,1,2018,2,0
80,75.0,0,12,9,3,2,0,2018,2,0
76,64.6,0,9,15,3,3,0,2017,1,0
44,60.0,0,11,8,3,1,2,2017,2,0
85,90.0,0,9,9,2,2,0,2017,1,0
0,97.0,0,5,9,4,0,1,2018,1,0
36,71.3,1,2,22,4,3,1,2018,2,0
205,85.5,2,10,18,4,4,0,2018,2,1
263,110.0,0,10,21,3,2,0,2018,2,1
35,65.83,1,10,7,4,2,0,2017,1,0
145,76.5,2,7,4,4,1,2,2017,2,1
56,108.0,2,11,2,4,3,0,2018,2,0
27,125.25,1,6,29,4,3,0,2018,2,0
71,120.0,0,6,14,3,3,0,2018,1,0
102,109.0,0,10,16,3,2,0,2017,2,0
176,108.45,1,7,28,4,4,2,2018,2,1
208,91.5,1,8,19,4,2,1,2018,2,0
164,126.9,1,9,30,4,2,2,2018,2,1
117,186.3,0,8,11,4,3,1,2018,2,1
78,90.9,0,10,30,4,0,2,2018,2,1
63,102.9,1,12,3,4,3,0,2017,2,0
64,106.2,1,11,3,4,3,1,2018,2,1
91,80.0,0,9,30,3,2,1,2018,2,0
40,155.13,0,12,31,4,2,2,2018,2,1
1,60.0,0,2,28,4,1,2,2018,1,1
59,121.5,2,4,5,4,2,0,2018,2,0
128,104.18,0,5,5,4,3,0,2018,2,0
66,141.9,1,9,1,4,3,0,2018,2,0
0,116.0,0,1,24,4,0,1,2018,2,0
37,146.33,1,10,20,4,3,0,2018,2,1
207,99.45,0,8,7,4,2,2,2018,2,1
10,89.0,1,4,3,4,0,2,2018,2,0
139,96.3,1,7,4,4,0,1,2018,2,0
52,74.8,0,12,4,4,2,2,2018,2,1
273,95.0,0,5,13,3,2,1,2018,2,1
68,65.0,0,9,29,3,2,0,2017,2,0
1,106.0,0,2,26,4,1,0,2018,1,0
205,85.5,2,10,18,4,4,0,2018,2,1
102,101.5,0,10,16,3,2,0,2017,2,1
1,184.0,1,9,13,2,1,0,2018,2,0
81,132.6,0,6,7,4,4,0,2018,2,0
93,115.0,0,10,15,3,1,2,2018,1,1
76,69.33,0,4,12,4,3,0,2018,2,0
273,109.0,0,7,17,3,2,0,2017,2,1
9,79.0,1,2,13,4,1,0,2018,2,0
108,110.75,0,5,8,3,0,2,2018,2,1
120,110.59,0,5,12,4,3,1,2018,1,1
26,114.0,1,12,4,4,4,2,2018,2,0
42,91.8,1,11,2,4,4,0,2018,2,0
166,110.0,0,11,1,3,3,0,2018,1,1
146,95.0,0,4,24,3,0,2,2018,2,1
20,67.22,2,2,24,4,2,0,2018,2,0
5,100.0,0,5,24,2,2,0,2018,1,0
29,143.03,3,10,3,4,2,1,2018,2,0
179,108.9,2,10,1,4,1,2,2018,2,1
230,76.85,1,7,29,4,2,1,2018,2,0
182,117.9,2,9,30,4,2,0,2018,2,1
20,66.0,0,1,10,2,0,1,2018,1,0
1,129.0,0,5,13,4,1,0,2018,2,0
12,65.0,0,8,5,2,3,0,2017,2,0
4,0.0,1,12,16,1,2,0,2018,2,0
56,82.45,0,3,6,4,5,2,2018,2,1
7,65.0,1,12,27,2,2,0,2018,1,0
4,86.0,1,1,27,4,4,1,2018,1,0
13,79.0,1,2,13,4,1,0,2018,2,0
91,90.9,1,4,12,4,3,0,2018,1,0
65,119.85,1,5,9,4,3,1,2018,2,0
0,168.0,2,9,19,4,1,1,2018,2,0
41,82.45,0,2,4,4,3,0,2018,2,1
152,62.0,1,2,20,3,1,2,2018,2,0
33,170.1,0,7,11,4,2,1,2018,2,1
71,75.54,0,10,30,4,0,1,2018,2,1
49,98.87,2,6,8,4,3,0,2018,2,0
20,122.6,0,7,28,4,2,0,2018,2,0
20,6.0,0,1,4,1,2,1,2018,1,0
11,66.99,1,12,13,4,0,2,2017,1,0
219,76.67,0,9,4,3,2,1,2017,1,0
181,111.5,0,7,1,4,4,1,2017,3,1
0,73.0,1,11,30,2,1,0,2018,2,0
12,111.14,0,3,3,4,5,2,2018,2,1
74,101.5,0,9,18,3,2,0,2017,2,0
155,143.1,2,9,8,4,1,0,2018,2,1
80,80.75,0,4,11,3,2,1,2018,2,0
301,115.0,1,7,30,3,1,1,2018,2,1
153,90.46,0,7,15,4,5,2,2018,1,1
175,93.5,2,9,11,4,2,2,2017,2,0
6,75.0,0,11,23,3,2,0,2018,1,0
5,136.0,1,4,21,4,3,0,2018,2,0
189,85.5,2,10,23,4,0,1,2018,2,0
65,118.8,0,4,23,4,1,0,2018,2,0
9,153.0,1,8,17,4,2,1,2017,2,1
48,130.0,0,9,14,3,2,0,2018,2,0
0,98.0,1,8,7,4,0,1,2018,2,1
161,126.9,0,9,15,4,3,1,2018,2,1
301,109.0,0,7,30,3,1,1,2018,2,1
16,63.2,0,2,5,4,6,2,2018,2,1
112,100.0,0,6,2,3,2,0,2018,2,0
181,72.75,1,8,6,4,5,2,2018,2,0
18,88.0,0,2,19,4,2,0,2018,2,0
33,71.1,1,3,15,4,3,0,2018,2,0
47,65.0,1,11,11,2,2,0,2017,1,0
103,94.5,0,7,18,3,1,2,2017,2,1
28,118.15,0,8,29,4,3,1,2018,2,1
5,84.0,0,9,26,2,0,1,2018,2,0
81,96.0,0,7,16,3,1,2,2018,2,0
263,110.0,0,10,21,3,2,0,2018,2,1
240,80.75,0,10,27,4,3,1,2018,2,1
39,101.5,0,8,14,3,2,0,2017,2,0
74,116.1,0,6,17,4,2,0,2018,1,1
7,119.5,1,8,20,4,3,1,2017,2,1
104,142.2,2,7,21,4,3,1,2018,3,0
20,113.33,3,11,10,4,3,0,2018,2,0
13,65.0,0,10,19,2,1,1,2017,1,0
0,107.0,1,10,31,4,1,0,2017,2,0
141,111.68,1,7,3,4,5,2,2018,2,0
45,75.0,0,11,10,3,3,0,2018,2,0
2,69.0,0,2,25,3,1,0,2018,1,0
24,67.0,1,8,29,2,1,1,2018,1,0
43,90.9,3,10,29,4,3,0,2017,1,0
120,89.74,0,4,7,4,5,2,2018,2,0
47,124.1,1,3,18,4,2,2,2018,3,1
15,114.33,0,6,12,4,1,2,2018,2,1
229,70.44,2,10,27,4,3,0,2018,2,1
6,67.0,0,10,6,2,1,0,2018,1,0
50,123.3,2,3,30,4,2,0,2018,3,0
39,67.5,0,2,15,4,1,1,2018,2,1
246,58.36,1,12,27,4,5,2,2018,2,1
18,133.0,1,9,22,4,3,0,2017,2,0
135,78.65,0,10,30,3,1,2,2018,2,0
36,120.7,0,6,29,2,3,0,2018,1,0
279,80.75,1,10,10,3,2,1,2018,2,0
151,99.3,1,8,19,4,3,2,2018,0,1
247,109.0,0,6,6,3,1,1,2018,2,1
11,143.86,1,8,13,4,5,2,2018,2,0
21,105.0,2,9,4,4,2,2,2017,2,0
41,85.67,0,3,13,2,1,2,2018,2,0
34,149.4,0,8,10,4,1,0,2018,2,1
69,106.0,0,9,22,3,2,0,2017,2,0
86,65.0,1,5,20,3,2,1,2018,2,0
52,74.8,0,12,4,4,2,2,2018,2,1
86,140.4,0,5,26,4,2,0,2018,2,1
92,149.4,1,5,19,4,1,0,2018,2,0
111,155.7,2,8,11,4,2,0,2018,3,0
4,90.0,1,10,6,3,3,0,2017,2,0
68,89.93,1,4,2,4,3,2,2018,2,0
74,109.0,0,9,18,3,2,0,2017,2,0
73,67.83,0,11,24,3,3,0,2017,1,0
126,76.58,1,5,4,4,4,0,2018,2,0
36,94.99,2,11,25,4,4,0,2017,2,0
14,122.96,1,11,7,4,5,1,2018,2,0
204,100.0,0,5,5,3,3,0,2018,2,1
204,72.75,0,10,9,3,2,2,2017,2,0
12,90.0,1,6,8,3,2,0,2018,1,0
221,73.0,0,8,12,3,1,0,2018,1,0
4,159.0,0,10,10,2,2,1,2018,1,0
134,89.25,1,7,13,4,4,0,2018,2,0
10,105.0,2,9,8,4,4,0,2017,2,0
45,118.8,2,9,1,4,2,0,2018,2,0
193,120.0,0,6,20,3,2,1,2018,2,1
79,102.6,1,11,17,4,3,0,2018,2,1
10,136.14,2,9,12,4,5,2,2017,2,1
2,195.0,1,9,22,4,1,0,2018,2,0
91,80.0,0,9,30,4,2,1,2018,2,1
160,128.35,1,5,27,4,2,0,2018,2,1
50,74.61,1,11,17,4,3,1,2018,2,0
40,100.1,1,11,11,4,2,0,2018,2,0
107,95.2,1,4,15,4,2,2,2018,2,0
23,115.0,1,4,27,4,1,0,2018,2,0
12,65.0,0,6,14,2,2,0,2018,1,0
221,109.65,1,9,12,4,3,1,2018,2,1
4,65.33,0,2,9,2,3,0,2018,1,0
118,107.95,0,5,1,4,3,2,2018,2,0
123,143.1,1,9,20,4,5,1,2018,2,1
64,154.1,1,8,6,4,1,1,2018,2,0
193,95.2,0,8,26,4,2,2,2018,2,1
51,96.3,1,9,7,4,1,0,2018,2,0
6,87.78,1,9,21,4,1,1,2017,2,0
8,134.75,2,9,1,3,3,0,2017,2,0
28,107.92,1,10,12,4,8,3,2017,2,0
157,90.95,0,6,26,4,3,2,2018,2,1
1,78.41,0,8,17,4,1,0,2018,1,0
327,76.0,0,9,9,3,4,2,2017,1,0
14,135.0,2,12,25,4,0,2,2018,2,0
31,75.0,0,9,16,3,2,1,2018,2,1
69,69.6,0,3,10,4,3,1,2018,2,0
125,118.58,1,7,5,4,4,0,2018,2,0
188,130.0,0,6,15,3,2,0,2018,1,1
49,110.7,0,9,6,4,3,0,2018,2,1
40,150.12,2,10,21,4,4,1,2017,2,0
55,84.8,1,3,1,4,2,0,2018,2,0
30,139.0,4,10,21,4,2,0,2018,2,0
66,108.11,1,5,14,4,1,2,2018,2,0
255,123.75,0,12,30,4,2,2,2018,3,0
39,102.0,0,12,19,3,2,1,2018,2,0
19,162.0,2,8,26,4,2,1,2018,2,0
120,146.53,0,9,28,3,3,0,2018,3,0
4,69.0,1,3,15,2,3,0,2018,1,0
22,90.0,0,10,28,3,2,0,2018,1,0
22,172.0,0,4,30,4,1,1,2018,3,1
8,140.0,3,9,3,4,3,0,2017,2,0
15,106.33,2,11,29,4,3,0,2018,2,0
61,118.8,0,4,7,4,3,0,2018,2,0
98,116.1,3,6,10,4,2,1,2018,2,0
0,165.0,1,8,17,4,2,0,2018,2,0
21,94.0,0,10,26,3,3,1,2017,2,0
11,83.5,0,10,23,3,1,0,2017,1,0
99,81.0,0,2,19,2,1,0,2018,1,0
204,100.0,0,5,5,3,3,0,2018,2,1
129,118.8,0,8,25,4,2,0,2018,2,0
145,118.8,0,9,16,4,2,2,2018,2,1
32,150.0,1,7,18,3,1,1,2018,3,0
15,85.85,1,11,12,4,2,2,2018,1,0
177,99.45,1,7,31,4,2,2,2018,2,0
4,111.0,1,11,22,4,1,0,2018,2,1
5,65.0,0,11,8,2,0,1,2017,1,0
56,149.4,0,9,8,4,5,2,2018,2,1
8,119.0,1,9,2,4,1,0,2018,2,0
0,65.0,0,4,12,2,1,0,2018,1,1
243,104.4,0,9,9,4,2,1,2018,2,1
124,127.8,1,8,4,4,1,0,2018,2,0
140,103.42,2,5,28,4,4,2,2018,3,0
2,141.0,0,6,16,4,2,0,2018,2,0
109,118.8,0,10,20,4,3,0,2018,2,1
32,73.0,0,11,20,3,2,0,2017,1,0
180,80.75,0,5,23,3,5,1,2018,2,0
85,98.0,0,12,3,4,1,1,2018,1,0
39,101.5,0,8,14,3,2,0,2017,2,0
113,100.0,0,5,31,2,3,0,2018,1,1
210,72.75,0,10,8,3,3,1,2017,2,0
60,76.5,0,3,10,4,1,0,2018,2,1
286,90.0,0,10,16,3,0,1,2018,2,1
26,89.0,1,4,11,4,0,1,2018,2,0
240,80.75,0,10,27,4,3,1,2018,2,1
17,121.75,1,10,2,4,2,2,2017,2,0
86,146.6,1,11,6,4,2,2,2018,1,1
10,139.0,1,7,16,4,1,0,2018,2,1
54,99.9,0,6,20,4,0,1,2018,2,1
1,40.0,0,3,9,2,1,0,2018,1,0
16,84.0,0,11,16,4,1,0,2018,2,0
221,65.0,0,10,17,3,1,2,2017,2,0
0,65.0,0,12,21,3,1,0,2018,1,0
61,72.24,1,10,26,3,1,1,2017,2,0
131,108.0,0,10,10,4,0,1,2018,1,1
14,112.0,1,11,3,4,1,0,2018,1,1
12,64.0,1,12,5,3,1,2,2017,2,0
11,135.0,2,4,27,4,4,1,2018,2,1
170,72.25,0,8,10,3,5,2,2018,2,0
4,103.0,0,4,10,4,0,2,2018,1,0
60,86.4,2,11,20,4,0,1,2018,1,0
64,101.52,0,9,28,3,3,0,2018,2,0
107,76.69,1,12,21,4,5,2,2018,2,0
180,70.0,0,10,16,3,1,0,2017,2,1
35,60.0,0,1,13,3,4,0,2018,2,0
57,90.67,1,6,10,3,2,1,2018,2,0
70,85.5,1,4,6,4,3,0,2018,2,0
33,97.71,1,5,9,4,4,1,2018,2,0
53,101.1,0,6,27,4,2,1,2018,2,1
252,106.3,0,10,15,4,1,2,2018,2,1
16,55.0,0,11,27,3,2,0,2017,2,0
146,72.25,0,7,13,3,4,1,2018,2,0
32,97.92,2,10,5,4,4,1,2017,2,0
138,139.5,1,8,9,4,2,0,2018,2,0
138,101.49,1,8,9,4,5,0,2018,2,0
224,96.3,1,10,29,4,1,2,2018,2,1
181,250.0,0,10,11,3,1,0,2018,2,1
151,100.5,1,8,5,4,2,1,2018,2,1
3,122.0,1,11,20,4,2,0,2017,2,0
291,115.0,0,8,19,3,2,0,2018,2,1
55,114.0,2,6,19,4,2,2,2018,3,0
96,60.0,0,3,6,3,3,2,2018,2,0
170,130.05,2,8,11,4,3,2,2018,3,1
10,67.0,0,8,29,3,1,0,2017,1,0
125,99.79,5,9,4,4,6,4,2018,2,0
0,79.0,0,7,20,2,1,0,2018,1,0
251,108.8,0,9,22,4,4,2,2018,2,1
14,132.33,0,3,4,4,7,2,2018,2,1
14,104.17,0,8,17,4,4,1,2018,2,0
145,65.0,0,1,3,3,1,2,2018,2,0
142,129.6,1,9,20,4,5,1,2018,2,1
39,120.6,0,4,20,4,4,1,2018,2,1
22,97.6,0,8,31,4,2,0,2018,1,0
131,76.23,2,8,5,4,2,0,2018,2,0
66,96.3,0,3,9,4,3,0,2018,2,0
184,128.7,2,10,17,4,3,1,2018,2,1
220,80.75,1,10,20,4,3,1,2018,2,0
224,65.0,0,10,2,3,2,1,2017,2,0
1,99.0,0,1,4,4,3,1,2018,2,0
29,71.3,0,3,23,3,5,2,2018,1,0
80,74.8,0,3,25,3,2,2,2018,2,1
9,94.86,1,9,4,4,2,2,2018,1,0
37,108.11,1,5,21,4,1,0,2018,2,0
8,0.0,2,4,23,1,1,0,2018,1,0
14,99.5,0,12,26,4,2,2,2017,2,0
52,105.4,3,12,19,4,5,1,2018,2,0
301,90.0,0,7,30,3,1,1,2018,1,0
250,95.0,0,9,26,3,3,1,2018,2,1
117,79.2,0,11,13,4,0,2,2018,2,0
116,135.0,2,12,22,4,3,0,2018,3,0
296,158.4,0,7,24,4,5,2,2018,2,1
31,63.0,0,12,3,3,1,2,2018,2,0
88,117.0,1,5,3,3,3,0,2018,2,0
17,108.2,0,12,9,3,7,2,2018,2,0
35,68.07,1,12,9,4,7,2,2018,2,0
3,110.0,0,10,7,0,2,1,2018,1,1
37,105.0,0,10,13,3,3,0,2018,2,0
24,85.0,0,10,16,3,3,2,2018,2,0
1,62.91,1,2,5,4,2,2,2018,1,0
335,80.0,0,10,13,3,3,0,2018,1,0
6,152.0,1,4,16,4,1,1,2018,3,0
130,80.75,0,9,3,3,1,2,2018,2,0
115,108.0,0,10,13,4,1,0,2018,2,1
213,130.0,0,6,7,3,3,0,2018,2,1
120,94.5,0,7,18,4,1,1,2018,2,0
157,68.0,0,12,8,3,3,0,2018,2,0
102,105.9,0,7,25,3,4,1,2018,3,0
49,69.5,0,3,5,4,1,2,2018,2,0
346,115.0,1,9,13,3,2,0,2018,2,1
109,108.0,0,10,11,4,1,0,2018,2,1
16,50.4,0,8,13,3,3,2,2017,2,0
36,68.07,1,12,10,4,6,2,2018,2,0
47,65.0,0,11,11,2,1,0,2017,1,0
242,72.25,1,11,22,4,2,2,2017,2,0
39,77.5,1,3,4,4,2,0,2018,1,0
13,85.0,1,3,20,3,0,1,2018,2,0
46,80.3,1,1,22,4,2,0,2018,2,0
150,90.0,1,6,16,3,3,0,2018,2,0
140,96.3,0,7,1,4,2,0,2018,2,1
5,104.0,1,11,10,4,3,0,2017,2,0
0,119.0,0,10,15,3,1,0,2018,1,0
24,114.0,2,10,8,4,3,0,2017,2,0
90,90.0,0,5,8,3,3,2,2018,1,0
63,63.75,0,8,15,3,2,1,2018,2,0
301,115.0,1,7,30,3,1,1,2018,2,1
377,115.0,1,10,14,3,2,0,2018,2,1
273,109.0,0,7,17,3,2,0,2017,2,1
71,128.0,0,12,7,4,4,0,2018,3,0
30,130.5,2,4,15,4,1,0,2018,2,0
126,195.75,0,8,16,4,4,0,2018,3,1
97,90.08,1,7,14,4,3,0,2018,2,0
256,106.2,0,6,28,4,3,0,2018,2,1
33,85.5,1,9,14,4,1,1,2017,1,0
276,116.33,0,9,22,4,3,0,2018,2,1
78,160.08,1,9,11,4,0,2,2018,3,0
18,121.0,0,6,8,4,2,0,2018,2,1
2,89.0,2,8,10,4,1,1,2017,2,0
90,90.3,1,4,9,4,1,2,2018,2,0
